State,Company Operated,Licensed,Total
Alabama,1,0,1
Arizona,5,1,6
California,49,1,50
Colorado,9,1,10
Connecticut,8,0,8
Delaware,1,0,1
District of Columbia,6,1,7
Florida,22,2,24
Georgia,7,1,8
Illinois,12,0,12
Indiana,3,1,4
Kansas,1,0,1
Kentucky,1,0,1
Louisiana,3,1,4
Maryland,9,1,10
Massachusetts,15,1,16
Michigan,8,0,8
Minnesota,4,1,5
Missouri,6,3,9
Nevada,6,2,8
New Hampshire,1,0,1
New Jersey,19,7,26
New York,46,10,56
North Carolina,7,2,9
Ohio,7,1,8
Oregon,3,0,3
Pennsylvania,14,2,16
Rhode Island,3,0,3
Tennessee,5,1,6
Texas,26,2,28
Utah,4,1,5
Virginia,9,1,10
Washington,6,0,6
Wisconsin,3,0,3
DOMESTIC,329,44,373
